Fid,Community,state,current est,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
1, Arkansas city,Arkansas,318,366,589,523,668,615,783,1018,1446,1432,1482,1485,1091
2, Memphis,Tennessee,650618,646889,650100,610337,646174,623988,497524,396000,292942,253143,162351,131105,102320
3,Minneapolis,Minnesota,425403,382578,382618,368383,370951,434400,482872,521718,492370,464356,380582,301408,202718
4,New orleans ,Lousiana,391006,343829,484674,496938,557515,593471,627525,570445,494537,458762,387219,339075,287104
5,St Louis,Missouri ,302838,319294,348189,396685,453805,622236,750026,856796,816048,821960,772897,687029,575238
6,Saint paul,Minnesota,307695,285068,287151,272235,270230,309980,313411,311349,287736,271606,234698,214744,163065
7,Baton rouge,lousiana,221599,229493,227818,219531,220394,165921,152419,125629,34719,30729,21782,14897,11269
8,Davenport,Iowa,102085,99685,98359,95333,103264,98469,88981,74549,66039,60751,56727,43028,35254
9,Grand Rapids,Minnesota,200217,188040,197800,189126,181843,197649,177313,176515,164292,168592,137634,112571,87565
10,St. Cloud,Minnesota,68043,65842,59108,48812,42566,39691,32415,28410,24173,21000,15873,10600,8663
11,La Crosse,Wisconsin,51567,51320,51818,51140,48347,50286,47258,47535,42707,39614,30421,30417,28895
12,Vicksburg,Mississippi,22136,23856,26407,20908,25434,25478,29143,27948,24460,22943,18072,20814,14834
13,Natchez,Mississippi,15009,15792,18464,19535,22015,19704,23791,22740,15296,13422,12608,11791,12210
14,Quiency,Illinois,40042,40633,40366,39681,42554,45288,43793,41450,40469,39241,35978,36587,36252
15,Prescott,Wisconsin,4272,4258,3764,3243,2654,2331,1536,1005,857,755,892,936,1002
16,N/A,US,327167434,308745538,281421906,248709873,226545805,203211926,179323175,151325798,132164569,123202624,106021537,92228496,76212168
